family,genus,species,taxa_id,equation,component,beta_0,beta_1,beta_2,beta_3,cf
Pinaceae,Abies,alba,1,3,aboveground,0.09109977,2.4497,,,1.000680438
Pinaceae,Abies,alba,1,3,stem mass,0.038071093,2.5768,,,0.987286775
Sapindaceae,Acer,pseudoplatanus,2,3,foliage mass,0.01720595,2.0662,,,1.003181327
Sapindaceae,Acer,pseudoplatanus,2,3,stem + branch mass,0.099102561,2.4186,,,1.010501711
Sapindaceae,Acer,pseudoplatanus,2,5,stem + branch mass,0.003921034,2.3994,1.4328,,0.960089747
Sapindaceae,Acer,pseudoplatanus,2,6,stem + branch mass,213.4494422,2.399,-0.7938,,0.958610735
Sapindaceae,Acer,pseudoplatanus,2,16,stem + branch mass,40904.68978,2.3992,-0.5541,-0.01,0.959345298
Sapindaceae,Acer,pseudoplatanus,2,17,stem + branch mass,0.001357514,2.3992,-0.3073,0.9245,0.959345298
Sapindaceae,Acer,pseudoplatanus,2,3,stem mass,0.077119432,2.4634,,,0.972105286
Sapindaceae,Acer,pseudoplatanus,2,5,stem mass,0.004995589,2.4645,1.1883,,0.97111504
Sapindaceae,Acer,pseudoplatanus,2,6,stem mass,51.11612474,2.4634,-0.678,,0.972280804
Sapindaceae,Acer,pseudoplatanus,2,7,stem mass,1.92E-09,2.4634,0.3423,,0.971374563
Sapindaceae,Acer,pseudoplatanus,2,9,stem mass,2.39E-05,2.4634,1.0229,,0.971472369
Sapindaceae,Acer,pseudoplatanus,2,16,stem mass,2614.164964,2.4648,-0.4982,-0.0075,0.972109688
Sapindaceae,Acer,pseudoplatanus,2,17,stem mass,0.00650815,2.4648,-0.3133,0.6927,0.972109688
Sapindaceae,Acer,pseudoplatanus,2,18,stem mass,3.85E-06,2.4648,-0.2695,0.2441,0.972109688
Sapindaceae,Acer,pseudoplatanus,2,3,total branch,0.026362836,2.1608,,,0.905259146
Sapindaceae,Acer,pseudoplatanus,2,5,total branch,1.06E-05,2.1605,3.3968,,0.912592531
Sapindaceae,Acer,pseudoplatanus,2,6,total branch,918961.953,2.1607,-1.8124,,0.906280059
Sapindaceae,Acer,pseudoplatanus,2,7,total branch,1.80E-24,2.1605,0.9978,,0.907294687
Sapindaceae,Acer,pseudoplatanus,2,19,total branch,0.001327577,2.1633,2.8865,-0.005,0.90493885
Betulaceae,Alnus,glutinosa,3,3,aboveground,0.106960037,2.3772,,,1.039874608
Betulaceae,Alnus,glutinosa,3,7,aboveground,0.027141265,2.3775,0.025,,1.040239951
Betulaceae,Alnus,glutinosa,3,9,aboveground,0.157363006,2.3744,-0.0441,,1.040241019
Betulaceae,Alnus,glutinosa,3,3,foliage mass,0.017370186,1.4192,,,0.976461559
Betulaceae,Alnus,glutinosa,3,4,foliage mass,0.19170453,1.4503,-0.1303,,0.977122164
Betulaceae,Alnus,glutinosa,3,6,foliage mass,2.74E-06,1.4503,0.9863,,0.977122164
Betulaceae,Alnus,glutinosa,3,4,leaf area,3.256978744,1.4503,-0.1385,,0.973130651
Betulaceae,Alnus,glutinosa,3,5,leaf area,105.5832773,1.4194,-1.9713,,0.974237645
Betulaceae,Alnus,glutinosa,3,6,leaf area,2.32E-05,1.4503,1.0478,,0.973130651
Betulaceae,Alnus,glutinosa,3,3,stem + branch mass,0.126135317,2.3219,,,0.972060409
Betulaceae,Alnus,glutinosa,3,3,stem mass,0.073321603,2.4486,,,1.066264227
Betulaceae,Alnus,glutinosa,3,4,stem mass,0.179084055,2.1434,0.0038,,0.980089539
Betulaceae,Alnus,glutinosa,3,6,stem mass,0.248776594,2.1434,-0.0291,,0.980089539
