"equation","component","beta_0","beta_1","beta_2","beta_3","cf","species_group"
3,"aboveground",0.121955384738228,2.3691,,,1.023846148,"All species"
4,"aboveground",0.137010186760804,2.3593,-0.0027,,1.017119324,"All species"
5,"aboveground",0.0930051882267993,2.3541,0.081,,1.018223601,"All species"
6,"aboveground",0.199887614075144,2.3315,-0.0584,,1.015560291,"All species"
12,"aboveground",0.268179163851099,2.3579,-0.0032,-0.0121,1.015247844,"All species"
13,"aboveground",0.179066147911493,2.358,-0.0026,-3e-04,1.015111729,"All species"
14,"aboveground",0.179066147911493,2.358,-0.0026,-3e-04,1.015111729,"All species"
16,"aboveground",0.287451824425885,2.328,-0.0746,-3e-04,1.013475998,"All species"
17,"aboveground",0.269604286658977,2.328,-0.0736,-0.0181,1.013671187,"All species"
3,"dead branch",0.00523703385042663,2.2537,,,1.073035669,"All species"
4,"dead branch",0.00160168352466222,2.16,0.0448,,0.988999223,"All species"
5,"dead branch",0.0002056366050714,2.1776,0.9641,,1.00399065,"All species"
12,"dead branch",1.9278886974243e-05,2.1596,0.0462,0.08,0.989321975,"All species"
13,"dead branch",0.00615494164684952,2.1567,0.0478,-0.0017,0.989447266,"All species"
14,"dead branch",0.00615494164684952,2.1567,0.0478,-0.0017,0.989447266,"All species"
18,"dead branch",0.0440337012827746,2.2105,0.5388,-0.1109,1.037418875,"All species"
3,"foliage mass",0.0251625122797113,1.8917,,,1.01472483963165,"All species"
4,"foliage mass",0.0529556769114902,2.0772,-0.0389,,1.02397464638905,"All species"
5,"foliage mass",0.0716831188872637,2.0194,-0.3964,,1.04568008785752,"All species"
6,"foliage mass",0.00180156418458206,2.0806,0.2683,,1.05262972538494,"All species"
9,"foliage mass",0.0313763768132178,1.9123,-0.0359,,1.01646555079867,"All species"
10,"foliage mass",0.0945146906453509,2.0942,-0.0238,-0.3155,1.04122348256218,"All species"
12,"foliage mass",0.18215450927516,2.0582,-0.0357,-0.0259,1.01813290863111,"All species"
13,"foliage mass",0.0304186308920437,2.0551,-0.0353,6e-04,1.01874523178204,"All species"
14,"foliage mass",0.0304186308920437,2.0551,-0.0353,6e-04,1.01874523178204,"All species"
15,"foliage mass",0.00792129956600299,2.0961,-0.1873,0.1578,1.04463660714236,"All species"
3,"leaf area",0.179209458146273,1.8832,,,1.01028444090184,"All species"
4,"leaf area",0.402282781939087,2.057,-0.044,,1.02109624322205,"All species"
5,"leaf area",0.65652139255813,2,-0.4624,,1.04448548525486,"All species"
6,"leaf area",0.010192531833988,2.0666,0.2932,,1.04100795770342,"All species"
9,"leaf area",0.230639360125263,1.8957,-0.0345,,1.01753943750086,"All species"
10,"leaf area",0.741336974979017,2.0747,-0.0282,-0.33,1.03632455097734,"All species"
13,"leaf area",0.22942020513117,2.0378,-0.0397,6e-04,1.02009046489474,"All species"
14,"leaf area",0.22942020513117,2.0378,-0.0397,6e-04,1.02009046489474,"All species"
15,"leaf area",0.0658747544264029,2.0824,-0.2389,0.154,1.03800503005486,"All species"
3,"live branch",0.0288051813510262,2.1531,,,1.023124451,"All species"
4,"live branch",0.0904190774599059,2.3723,-0.0531,,1.015273835,"All species"
5,"live branch",0.287912115479614,2.3048,-0.7573,,1.102846944,"All species"
10,"live branch",0.353348661458063,2.4066,-0.0237,-0.6537,1.092558126,"All species"
13,"live branch",0.034596595420892,2.3729,-0.0549,0.0012,1.014761412,"All species"
14,"live branch",0.034596595420892,2.3729,-0.0549,0.0012,1.014761412,"All species"
3,"root mass",0.0421003173633652,2.2796,,,1.15690429479016,"All species"
4,"root mass",0.0606157814404994,2.2895,-0.0132,,1.02568957533564,"All species"
3,"stem + branch mass",0.112714185082067,2.3928,,,1.04378875541213,"All species"
4,"stem + branch mass",0.0988946635349364,2.3539,0.0109,,1.0595206430541,"All species"
