model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood1,0.025036,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bwood2,2.637781,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark1,0.006119,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbark2,2.537534,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches1,0.017837,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bbranches2,2.425492,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage1,0.041575,FALSE
DBH,"CA-AB, CA-BC",ABIE.LAS,Pinaceae,Abies,lasiocarpa,bfoliage2,2.013012,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood1,0.0494,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bwood2,2.5025,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark1,0.0148,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbark2,2.2494,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches1,0.0291,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bbranches2,2.0751,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage1,0.1631,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.MAR,Pinaceae,Picea,mariana,bfoliage2,1.4222,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bwood1,0.0323,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bwood2,2.6825,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbark1,0.0144,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbark2,2.1768,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbranches1,0.0209,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bbranches2,2.1772,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bfoliage1,0.0584,FALSE
DBH,"CA-AB, CA-BC",PINU.CON,Pinaceae,Pinus,contorta,bfoliage2,1.6432,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bwood1,0.0608,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bwood2,2.4735,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bbark1,0.0159,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bbark2,2.4123,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bbranches1,0.0082,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bbranches2,2.5139,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bfoliage1,0.0235,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",POPU.TRE,Salicaceae,Populus,tremuloides,bfoliage2,1.6656,FALSE
DBH,"CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK",BETU.PAP,Betulaceae,Betula,papyrifera,bwood1,0.0604,FALSE
